Date,USD_TRY,EUR_TRY,GBP_TRY,AED_TRY,AZN_TRY,BGN_TRY,CNY_TRY,DKK_TRY,KRW_TRY,IRR_TRY,SEK_TRY,CHF_TRY,JPY_TRY,CAD_TRY,QAR_TRY,KWD_TRY,NOK_TRY,PKR_TRY,RON_TRY,RUB_TRY,SAR_TRY,XDR_TRY
01-01-2020,,,,,,,,,,,,,,,,,,,,,,
02-01-2020,5.94,6.6621,7.8013,,,3.3868,0.84827,0.89023,,0.01406,0.63391,6.1229,5.4562,4.5501,1.6223,19.4878,0.6735,0.03814,1.3847,0.0951,1.5834,8.2343
03-01-2020,5.9478,6.663,7.8464,,,3.3877,0.84938,0.8905,,0.01408,0.63323,6.118,5.4543,4.5735,1.6243,19.5085,0.67541,0.03819,1.3854,0.09572,1.5856,8.2439
04-01-2020,,,,,,,,,,,,,,,,,,,,,,
05-01-2020,,,,,,,,,,,,,,,,,,,,,,
06-01-2020,5.9627,6.6464,7.79,,,3.3793,0.85037,0.88803,,0.01412,0.6299,6.1179,5.5057,4.5868,1.6254,19.5592,0.67388,0.03828,1.3824,0.09557,1.5896,8.2485
07-01-2020,5.9658,6.6718,7.8134,,,3.3919,0.8507,0.89134,,0.01412,0.63111,6.1363,5.5093,4.5917,1.6293,19.5726,0.67476,0.03827,1.389,0.09549,1.5903,8.2629
08-01-2020,5.9594,6.6628,7.8303,,,3.3874,0.85363,0.89021,,0.01411,0.63033,6.1277,5.4836,4.5871,1.6275,19.5509,0.67587,0.03823,1.3872,0.09591,1.5886,8.2571
09-01-2020,5.9571,6.6355,7.8106,,,3.3735,0.85336,0.88652,,0.0141,0.62796,6.1189,5.4763,4.5768,1.6236,19.5348,0.671,0.03821,1.381,0.09574,1.5879,8.2424
10-01-2020,5.881,6.5336,7.6719,,,3.3219,0.84381,0.87297,,0.01392,0.61862,6.0233,5.3635,4.5015,1.6045,19.2737,0.66071,0.03776,1.3599,0.09552,1.5677,8.1233
11-01-2020,,,,,,,,,,,,,,,,,,,,,,
12-01-2020,,,,,,,,,,,,,,,,,,,,,,
13-01-2020,5.8713,6.517,7.6595,,,3.3134,0.84298,0.8707,,0.0139,0.6154,6.0119,5.3441,4.4871,1.6001,19.2385,0.65905,0.03771,1.3558,0.09524,1.5651,8.107
14-01-2020,5.8529,6.5096,7.5913,,,3.3097,0.84419,0.86972,,0.01386,0.61308,6.0024,5.3198,4.4763,1.5985,19.1756,0.65685,0.03758,1.3543,0.09538,1.5601,8.0859
15-01-2020,5.8811,6.5495,7.6222,,,3.3298,0.84957,0.87504,,0.01392,0.61897,6.0532,5.3328,4.4947,1.6055,19.2759,0.65997,0.03776,1.3627,0.09529,1.5676,8.1275
16-01-2020,5.8827,6.5504,7.6428,,,3.3304,0.84938,0.87523,,0.01393,0.61835,6.0727,5.3403,4.4958,1.6066,19.2802,0.6607,0.0378,1.3625,0.09517,1.568,8.1313
17-01-2020,5.8684,6.5458,7.6458,,,3.328,0.84781,0.87457,,0.01389,0.61738,6.0765,5.3226,4.4946,1.6027,19.2374,0.66049,0.03773,1.3616,0.09472,1.5643,8.1177
18-01-2020,,,,,,,,,,,,,,,,,,,,,,
19-01-2020,,,,,,,,,,,,,,,,,,,,,,
20-01-2020,5.8564,6.5172,7.6396,,,3.3134,0.84902,0.87076,,0.01387,0.61463,6.0502,5.3026,4.4842,1.5995,19.1957,0.65691,0.03766,1.3558,0.09476,1.561,8.0979
21-01-2020,5.8979,6.5412,7.6458,,,3.3256,0.85481,0.874,,0.01396,0.61683,6.0752,5.3408,4.5078,1.6108,19.3112,0.66043,0.03794,1.3609,0.0953,1.5719,8.1424
22-01-2020,5.9191,6.568,7.6976,,,3.3394,0.85268,0.87762,,0.01401,0.61906,6.1021,5.3691,4.5228,1.6166,19.3807,0.65954,0.03807,1.3666,0.09522,1.5777,8.1708
